Event,Average Age
Athletics Men's Long Jump,23.64
"Biathlon Women's 10 kilometres Pursuit, Biathlon Women's 12.5 kilometres Mass Start, Biathlon Women's 15 kilometres, Biathlon Women's 4 x 6 kilometres Relay, Biathlon Women's 7.5 kilometres Sprint",23.63
"Rowing Women's Coxed Eights, Rowing Women's Coxless Pairs",23.63
"Athletics Women's 1,500 metres, Athletics Women's 3,000 metres",23.62
"Cycling Men's Madison, Cycling Men's Team Pursuit, 4,000 metres",23.62
"Canoeing Women's Kayak Fours, 500 metres",23.62
"Badminton Mixed Doubles, Badminton Women's Doubles",23.61
Athletics Women's Long Jump,23.61
"Canoeing Men's Canadian Doubles, 500 metres",23.6
"Fencing Men's Foil, Individual, Fencing Men's Foil, Team, Fencing Men's Sabre, Individual",23.6
Athletics Men's 4 x 100 metres Relay,23.6
Weightlifting Women's Flyweight,23.6
"Athletics Men's 400 metres, Athletics Men's 400 metres Hurdles",23.6
"Speed Skating Men's 10,000 metres",23.6
Rowing Men's Coxed Fours,23.6
"Sailing Men's One Person Dinghy, Sailing Men's Two Person Keelboat",23.6
"Athletics Women's 100 metres Hurdles, Athletics Women's Pentathlon",23.6
"Cycling Men's Sprint, Cycling Men's Team Sprint",23.59
"Badminton Women's Doubles, Badminton Women's Singles",23.59
"Speed Skating Women's 1,500 metres, Speed Skating Women's Team Pursuit (6 laps)",23.57
"Biathlon Women's 15 kilometres, Biathlon Women's 4 x 6 kilometres Relay, Biathlon Women's 7.5 kilometres Sprint",23.57
Table Tennis Women's Team,23.57
"Cycling Women's 500 metres Time Trial, Cycling Women's Sprint",23.57
Athletics Women's 800 metres,23.57
"Cross Country Skiing Women's 15 kilometres, Cross Country Skiing Women's 30 kilometres, Cross Country Skiing Women's 4 x 5 kilometres Relay, Cross Country Skiing Women's 5 kilometres, Cross Country Skiing Women's 5/10 kilometres Pursuit",23.57
"Judo Men's Half-Heavyweight, Judo Men's Heavyweight",23.56
"Judo Women's Half-Middleweight, Judo Women's Middleweight",23.56
"Fencing Men's Foil, Individual, Fencing Men's Foil, Team, Fencing Men's epee, Team",23.56
"Canoeing Men's Canadian Singles, 500 metres",23.55
"Wrestling Men's Heavyweight, Greco-Roman, Wrestling Men's Light-Heavyweight, Greco-Roman",23.55
Judo Men's Extra-Lightweight,23.53
Judo Women's Extra-Lightweight,23.53
"Athletics Men's 3,000 metres Steeplechase, Athletics Men's 5,000 metres",23.53
Boxing Men's Middleweight,23.53
"Wrestling Men's Flyweight, Greco-Roman",23.53
"Tennis Men's Doubles, Tennis Men's Singles",23.53
"Cycling Men's Keirin, Cycling Men's Sprint, Cycling Men's Team Sprint",23.52
"Canoeing Men's Canadian Singles, 1,000 metres",23.52
Trampolining Women's Individual,23.52
Luge Men's Singles,23.51
"Table Tennis Men's Singles, Table Tennis Men's Team",23.51
"Weightlifting Men's Heavyweight, Weightlifting Men's Heavyweight I",23.5
"Sailing Men's Two Person Dinghy, Sailing Mixed Multihull",23.5
"Canoeing Men's Canadian Doubles, 1,000 metres, Canoeing Men's Canadian Singles, 1,000 metres",23.5
"Cycling Men's 1,000 metres Time Trial, Cycling Men's Tandem Sprint, 2,000 metres",23.5
"Wrestling Men's Featherweight, Freestyle, Wrestling Men's Heavyweight, Freestyle",23.5
"Cross Country Skiing Women's 15 kilometres, Cross Country Skiing Women's 30 kilometres, Cross Country Skiing Women's 5 kilometres, Cross Country Skiing Women's 5/10 kilometres Pursuit",23.5
"Canoeing Men's Kayak Doubles, 1,000 metres, Canoeing Men's Kayak Doubles, 10,000 metres, Canoeing Men's Kayak Relay 4 x 500 metres, Canoeing Men's Kayak Singles, 1,000 metres",23.5
"Athletics Women's 4 x 100 metres Relay, Bobsleigh Women's Two",23.5
"Rowing Women's Coxed Eights, Rowing Women's Double Sculls, Rowing Women's Quadruple Sculls",23.5
"Gymnastics Men's Floor Exercise, Gymnastics Men's Horse Vault, Gymnastics Men's Individual All-Around",23.5
"Gymnastics Men's Individual All-Around, Gymnastics Men's Parallel Bars, Gymnastics Men's Pommelled Horse, Gymnastics Men's Rings, Gymnastics Men's Team All-Around",23.5
"Athletics Men's Discus Throw, Athletics Men's Javelin Throw, Athletics Men's Pentathlon",23.5
"Athletics Women's 100 metres Hurdles, Athletics Women's 400 metres Hurdles",23.5
"Ice Hockey Men's Ice Hockey, Rowing Men's Coxless Pairs",23.5
"Rowing Men's Coxed Fours, Rowing Men's Double Sculls",23.5
"Wrestling Men's Light-Heavyweight, Freestyle, Wrestling Men's Light-Heavyweight, Greco-Roman, Wrestling Men's Middleweight, Greco-Roman",23.5
"Cross Country Skiing Men's 10 kilometres, Cross Country Skiing Men's 10/10 kilometres Pursuit, Cross Country Skiing Men's 15 kilometres, Cross Country Skiing Men's Sprint",23.5
"Cross Country Skiing Women's 15 kilometres, Cross Country Skiing Women's 30 kilometres, Cross Country Skiing Women's 4 x 5 kilometres Relay, Cross Country Skiing Women's 5 kilometres, Cross Country Skiing Women's 5/10 kilometres Pursuit, Cross Country Skiing Women's 5/5 kilometres Pursuit",23.5
"Athletics Women's 100 metres, Athletics Women's 200 metres, Athletics Women's 4 x 100 metres Relay, Athletics Women's 80 metres Hurdles",23.5
"Wrestling Men's Lightweight, Greco-Roman, Wrestling Men's Welterweight, Greco-Roman",23.5
"Athletics Women's 100 metres, Athletics Women's 200 metres, Athletics Women's 400 metres, Athletics Women's 800 metres",23.5
"Alpine Skiing Men's Combined, Alpine Skiing Men's Giant Slalom, Alpine Skiing Men's Slalom, Freestyle Skiing Men's Ski Cross",23.5
"Judo Men's Middleweight, Judo Men's Open Class",23.5
Gymnastics Men's Rings,23.5
"Biathlon Men's 10 kilometres Sprint, Biathlon Men's 12.5 kilometres Pursuit, Biathlon Men's 15 kilometres Mass Start, Biathlon Men's 20 kilometres",23.5
"Sailing Mixed Multihull, Sailing Women's Two Person Dinghy",23.5
"Cross Country Skiing Men's 10/10 kilometres Pursuit, Cross Country Skiing Men's 15 kilometres, Cross Country Skiing Men's 30 kilometres, Cross Country Skiing Men's 30 km Skiathlon, Cross Country Skiing Men's 4 x 10 kilometres Relay, Cross Country Skiing Men's 50 kilometres, Cross Country Skiing Men's Team Sprint",23.5
"Athletics Men's 10 kilometres Walk, Athletics Men's 50 kilometres Walk",23.5
"Athletics Men's 10,000 metres, Athletics Men's Cross-Country, Individual, Athletics Men's Cross-Country, Team, Athletics Men's Marathon",23.5
"Athletics Men's 4 x 400 metres Relay, Bobsleigh Men's Four",23.5
"Cycling Men's Madison, Cycling Men's Road Race, Individual",23.5
"Speed Skating Men's 5,000 metres, Speed Skating Men's Team Pursuit (8 laps)",23.5
"Speed Skating Women's 1,000 metres, Speed Skating Women's 1,500 metres, Speed Skating Women's 3,000 metres, Speed Skating Women's Team Pursuit (6 laps)",23.5
"Fencing Men's Foil, Individual, Fencing Men's Foil, Team, Fencing Men's Sabre, Team, Fencing Men's epee, Team",23.5
"Athletics Women's High Jump, Athletics Women's Long Jump, Athletics Women's Pentathlon",23.5
"Cycling Women's Keirin, Cycling Women's Sprint, Cycling Women's Team Sprint",23.5
"Wrestling Men's Light-Heavyweight, Greco-Roman, Wrestling Men's Middleweight, Greco-Roman",23.48
"Canoeing Men's Kayak Singles, 1,000 metres",23.47
Volleyball Women's Volleyball,23.46
"Cross Country Skiing Men's 15 kilometres, Cross Country Skiing Men's 30 kilometres, Cross Country Skiing Men's 4 x 10 kilometres Relay",23.46
"Fencing Men's epee, Individual, Fencing Men's epee, Team, Modern Pentathlon Men's Individual, Modern Pentathlon Men's Team",23.45
"Speed Skating Men's 10,000 metres, Speed Skating Men's 5,000 metres",23.45
"Athletics Men's 1,500 metres",23.45
"Alpine Skiing Men's Combined, Alpine Skiing Men's Downhill",23.44
"Canoeing Men's Canadian Doubles, 1,000 metres, Canoeing Men's Canadian Doubles, 500 metres",23.43
"Canoeing Men's Kayak Doubles, 1,000 metres, Canoeing Men's Kayak Fours, 1,000 metres",23.43
"Speed Skating Women's 3,000 metres",23.43
"Wrestling Men's Light-Flyweight, Freestyle",23.42
Taekwondo Women's Welterweight,23.42
Athletics Men's 4 x 400 metres Relay,23.41
Athletics Women's 4 x 400 metres Relay,23.41
"Weightlifting Men's Heavyweight, Weightlifting Men's Middle-Heavyweight",23.4
"Cross Country Skiing Men's 15 kilometres, Cross Country Skiing Men's 30 km Skiathlon, Cross Country Skiing Men's 4 x 10 kilometres Relay, Cross Country Skiing Men's 50 kilometres, Cross Country Skiing Men's Sprint",23.4
"Rowing Men's Coxed Eights, Rowing Men's Coxless Fours",23.4
"Athletics Men's 1,500 metres, Athletics Men's 5,000 metres",23.4
"Athletics Women's 200 metres, Athletics Women's 400 metres",23.4
Alpine Skiing Men's Giant Slalom,23.38
"Athletics Women's 5,000 metres, Athletics Women's Marathon",23.38
"Weightlifting Men's Heavyweight I, Weightlifting Men's Middle-Heavyweight",23.38
Sailing Women's One Person Dinghy,23.38
"Rowing Men's Coxless Pairs, Rowing Men's Quadruple Sculls",23.38
"Fencing Women's Sabre, Individual, Fencing Women's Sabre, Team",23.37
"Rowing Women's Coxed Eights, Rowing Women's Coxed Fours",23.37
Cycling Women's Omnium,23.36
Rowing Women's Coxed Quadruple Sculls,23.36
"Rowing Men's Coxed Eights, Rowing Men's Double Sculls",23.36
"Wrestling Men's Bantamweight, Freestyle, Wrestling Men's Bantamweight, Greco-Roman",23.36
"Athletics Women's 1,500 metres, Athletics Women's 800 metres",23.35
"Sailing Men's One Person Dinghy, Sailing Mixed One Person Dinghy",23.35
"Fencing Men's Foil, Individual, Fencing Men's Foil, Team",23.35
Snowboarding Women's Boardercross,23.35
"Cycling Men's 100 kilometres Team Time Trial, Cycling Men's Points Race, Cycling Men's Road Race, Individual",23.33
"Snowboarding Women's Giant Slalom, Snowboarding Women's Parallel Giant Slalom",23.33
"Athletics Men's 4 x 100 metres Relay, Bobsleigh Men's Four",23.33
"Athletics Men's 100 metres, Athletics Men's 4 x 100 metres Relay, Athletics Men's 400 metres",23.33
Badminton Women's Singles,23.33
"Swimming Men's 100 metres Backstroke, Swimming Men's 100 metres Butterfly",23.33
"Cycling Men's 1,000 metres Time Trial, Cycling Men's Points Race, Cycling Men's Sprint",23.33
"Swimming Men's 4 x 100 metres Medley Relay, Swimming Men's 4 x 200 metres Freestyle Relay",23.33
"Athletics Men's 3,000 metres, Team, Athletics Men's 5,000 metres",23.33
"Canoeing Men's Kayak Fours, 1,000 metres, Canoeing Men's Kayak Relay 4 x 500 metres",23.33
"Wrestling Men's Light-Heavyweight, Freestyle, Wrestling Men's Super-Heavyweight, Freestyle",23.33
"Cross Country Skiing Women's 30 kilometres, Cross Country Skiing Women's 5 kilometres, Cross Country Skiing Women's 5/10 kilometres Pursuit",23.33
"Rowing Women's Coxless Pairs, Rowing Women's Single Sculls",23.33
Cross Country Skiing Women's 15 kilometres,23.33
"Alpine Skiing Men's Combined, Alpine Skiing Men's Giant Slalom",23.33
"Cross Country Skiing Women's 10 kilometres, Cross Country Skiing Women's 15 km Skiathlon, Cross Country Skiing Women's 4 x 5 kilometres Relay, Cross Country Skiing Women's Sprint, Cross Country Skiing Women's Team Sprint",23.33
"Canoeing Men's Kayak Doubles, 200 metres, Canoeing Men's Kayak Fours, 1,000 metres",23.33
"Taekwondo Men's Heavyweight, Taekwondo Men's Welterweight",23.33
"Athletics Men's 4 x 400 metres Relay, Athletics Men's 400 metres Hurdles",23.32
"Rowing Men's Double Sculls, Rowing Men's Single Sculls",23.32
"Canoeing Men's Canadian Singles, 1,000 metres, Canoeing Men's Canadian Singles, 500 metres",23.31
"Rowing Women's Double Sculls, Rowing Women's Quadruple Sculls",23.3
"Athletics Women's 4 x 400 metres Relay, Athletics Women's 400 metres Hurdles",23.29
Athletics Men's 800 metres,23.29
"Canoeing Women's Kayak Singles, 500 metres",23.28
"Canoeing Men's Kayak Doubles, 1,000 metres, Canoeing Men's Kayak Relay 4 x 500 metres, Canoeing Men's Kayak Singles, 1,000 metres",23.25
"Canoeing Men's Kayak Doubles, 500 metres, Canoeing Men's Kayak Singles, 1,000 metres, Canoeing Men's Kayak Singles, 500 metres",23.25
"Canoeing Men's Kayak Singles, 1,000 metres, Canoeing Men's Kayak Singles, 200 metres",23.25
"Cross Country Skiing Women's 10 kilometres, Cross Country Skiing Women's 15 kilometres, Cross Country Skiing Women's 20 kilometres, Cross Country Skiing Women's 30 kilometres, Cross Country Skiing Women's 4 x 5 kilometres Relay, Cross Country Skiing Women's 5 kilometres, Cross Country Skiing Women's 5/10 kilometres Pursuit",23.25
Athletics Women's Pentathlon,23.25
"Fencing Men's Foil, Individual, Fencing Men's epee, Individual, Fencing Men's epee, Team",23.24
Sailing Men's Windsurfer,23.24
"Canoeing Men's Kayak Singles, 500 metres",23.24
"Wrestling Men's Flyweight, Freestyle",23.24
Rowing Women's Coxed Fours,23.23
Cycling Men's BMX,23.23
"Weightlifting Men's Light-Heavyweight, Weightlifting Men's Middle-Heavyweight",23.23
"Shooting Women's Air Rifle, 10 metres",23.23
"Cycling Men's Points Race, Cycling Men's Team Pursuit, 4,000 metres",23.23
Taekwondo Men's Featherweight,23.23
Sailing Mixed Windsurfer,23.21
Weightlifting Women's Light-Heavyweight,23.21
"Cross Country Skiing Men's 10 kilometres, Cross Country Skiing Men's 10/10 kilometres Pursuit, Cross Country Skiing Men's 10/15 kilometres Pursuit, Cross Country Skiing Men's 15 kilometres, Cross Country Skiing Men's 30 kilometres, Cross Country Skiing Men's 4 x 10 kilometres Relay, Cross Country Skiing Men's 50 kilometres",23.2
"Biathlon Men's 10 kilometres Sprint, Biathlon Men's 20 kilometres, Biathlon Men's 4 x 7.5 kilometres Relay, Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay",23.2
"Speed Skating Women's 5,000 metres",23.2
"Fencing Women's Foil, Individual, Fencing Women's Foil, Team",23.2
"Athletics Men's Javelin Throw, Athletics Men's Javelin Throw, Both Hands",23.2
Alpine Skiing Men's Combined,23.18
Rowing Men's Coxed Pairs,23.18
"Ski Jumping Men's Large Hill, Team",23.17
"Athletics Men's 200 metres, Athletics Men's 4 x 400 metres Relay",23.17
"Alpine Skiing Men's Combined, Alpine Skiing Men's Downhill, Alpine Skiing Men's Slalom, Alpine Skiing Men's Super G",23.17
"Canoeing Women's Kayak Doubles, 500 metres, Canoeing Women's Kayak Singles, 500 metres",23.15
"Wrestling Men's Middleweight, Greco-Roman, Wrestling Men's Welterweight, Greco-Roman",23.15
"Athletics Men's 200 metres, Athletics Men's 400 metres",23.14
Trampolining Men's Individual,23.13
"Weightlifting Men's Heavyweight II, Weightlifting Men's Super-Heavyweight",23.12
"Athletics Women's 4 x 400 metres Relay, Athletics Women's 400 metres, Athletics Women's 800 metres",23.12
"Biathlon Women's 15 kilometres, Biathlon Women's 4 x 7.5 kilometres Relay",23.11
Speed Skating Men's 500 metres,23.11
Athletics Men's 100 metres,23.1
"Speed Skating Women's 3,000 metres, Speed Skating Women's 5,000 metres",23.1
"Table Tennis Women's Singles, Table Tennis Women's Team",23.08
Athletics Men's 200 metres,23.07
"Athletics Women's Long Jump, Athletics Women's Triple Jump",23.07
Taekwondo Women's Heavyweight,23.07
Cycling Men's Omnium,23.06
"Figure Skating Mixed Pairs, Figure Skating Mixed Team",23.06
"Nordic Combined Men's Large Hill / 10 km, Individual, Nordic Combined Men's Normal Hill / 10 km, Individual, Nordic Combined Men's Team",23.06
"Athletics Men's 200 metres, Athletics Men's 4 x 100 metres Relay",23.06
"Canoeing Men's Kayak Fours, 1,000 metres, Canoeing Men's Kayak Singles, 500 metres",23.06
Athletics Men's 400 metres,23.05
"Alpine Skiing Men's Combined, Alpine Skiing Men's Downhill, Alpine Skiing Men's Super G",23.05
"Weightlifting Men's Light-Heavyweight, Weightlifting Men's Middleweight",23.04
Boxing Men's Light-Middleweight,23.04
Cycling Men's 100 kilometres Team Time Trial,23.03
"Wrestling Men's Light-Flyweight, Greco-Roman",23.03
"Biathlon Women's 12.5 kilometres Mass Start, Biathlon Women's 15 kilometres, Biathlon Women's 4 x 6 kilometres Relay, Biathlon Women's 7.5 kilometres Sprint",23.0
"Cross Country Skiing Women's 10 kilometres, Cross Country Skiing Women's 15 kilometres, Cross Country Skiing Women's 30 kilometres, Cross Country Skiing Women's 5 kilometres, Cross Country Skiing Women's 5/10 kilometres Pursuit, Cross Country Skiing Women's 5/5 kilometres Pursuit, Cross Country Skiing Women's Sprint",23.0
"Athletics Men's 400 metres Hurdles, Boxing Men's Light-Middleweight, Boxing Men's Middleweight",23.0
"Athletics Men's 110 metres Hurdles, Athletics Men's 400 metres Hurdles",23.0
"Cycling Men's Road Race, Individual, Weightlifting Men's Bantamweight",23.0
"Cross Country Skiing Men's 15 kilometres, Cross Country Skiing Men's 30 km Skiathlon, Cross Country Skiing Men's 4 x 10 kilometres Relay, Cross Country Skiing Men's Team Sprint",23.0
"Athletics Men's 4 x 400 metres Relay, Athletics Men's 400 metres, Boxing Men's Heavyweight",23.0
"Athletics Men's 110 metres Hurdles, Athletics Men's 4 x 100 metres Relay, Athletics Men's 400 metres Hurdles, Athletics Men's Triple Jump",23.0
"Gymnastics Men's Horizontal Bar, Gymnastics Men's Individual All-Around, Gymnastics Men's Parallel Bars, Gymnastics Men's Pommelled Horse",23.0
"Cross Country Skiing Men's 10/10 kilometres Pursuit, Cross Country Skiing Men's 15 kilometres, Cross Country Skiing Men's 30 kilometres, Cross Country Skiing Men's 50 kilometres, Cross Country Skiing Men's Sprint, Cross Country Skiing Men's Team Sprint",23.0
"Swimming Women's 100 metres Backstroke, Swimming Women's 100 metres Butterfly, Swimming Women's 4 x 100 metres Medley Relay",23.0
"Alpine Skiing Women's Combined, Alpine Skiing Women's Downhill, Alpine Skiing Women's Giant Slalom, Alpine Skiing Women's Super G, Freestyle Skiing Women's Ski Cross",23.0
"Biathlon Women's 15 kilometres, Biathlon Women's 7.5 kilometres Sprint, Cross Country Skiing Women's 5/5 kilometres Pursuit, Cross Country Skiing Women's Sprint",23.0
"Cycling Men's Road Race, Individual, Cycling Men's Road Race, Team, Gymnastics Men's Floor Exercise, Gymnastics Men's Horizontal Bar, Gymnastics Men's Horse Vault, Gymnastics Men's Individual All-Around, Gymnastics Men's Parallel Bars, Gymnastics Men's Pommelled Horse, Gymnastics Men's Rings, Gymnastics Men's Team All-Around",23.0
"Speed Skating Men's 1,000 metres, Speed Skating Men's 1,500 metres, Speed Skating Men's 5,000 metres, Speed Skating Men's 500 metres, Speed Skating Men's Team Pursuit (8 laps)",23.0
"Cross Country Skiing Men's 10 kilometres, Cross Country Skiing Men's 10/10 kilometres Pursuit, Cross Country Skiing Men's 10/15 kilometres Pursuit, Cross Country Skiing Men's 15 kilometres, Cross Country Skiing Men's 30 kilometres, Cross Country Skiing Men's 30 km Skiathlon, Cross Country Skiing Men's 4 x 10 kilometres Relay, Cross Country Skiing Men's 50 kilometres, Cross Country Skiing Men's Sprint",23.0
"Athletics Men's 5,000 metres, Athletics Men's 800 metres",23.0
"Wrestling Men's Heavyweight, Freestyle, Wrestling Men's Heavyweight, Greco-Roman, Wrestling Men's Super-Heavyweight, Freestyle, Wrestling Men's Super-Heavyweight, Greco-Roman",23.0
"Swimming Women's 100 metres Backstroke, Swimming Women's 100 metres Butterfly, Swimming Women's 200 metres Butterfly, Swimming Women's 4 x 100 metres Medley Relay",23.0
"Biathlon Women's 10 kilometres Pursuit, Biathlon Women's 4 x 7.5 kilometres Relay, Biathlon Women's 7.5 kilometres Sprint",23.0
"Gymnastics Men's Individual All-Around, Gymnastics Men's Parallel Bars",23.0
"Canoeing Men's Kayak Doubles, 1,000 metres, Canoeing Men's Kayak Doubles, 200 metres, Canoeing Men's Kayak Doubles, 500 metres, Canoeing Men's Kayak Singles, 200 metres",23.0
"Canoeing Men's Kayak Doubles, 1,000 metres, Canoeing Men's Kayak Doubles, 10,000 metres, Canoeing Men's Kayak Singles, 1,000 metres",23.0
"Gymnastics Men's Individual All-Around, Gymnastics Men's Parallel Bars, Gymnastics Men's Rings",23.0
"Gymnastics Men's Individual All-Around, Gymnastics Men's Rings",23.0
"Wrestling Men's Featherweight, Freestyle, Wrestling Men's Welterweight, Freestyle",23.0
"Athletics Women's 4 x 100 metres Relay, Athletics Women's Triple Jump",23.0
"Gymnastics Men's Parallel Bars, Gymnastics Men's Pommelled Horse, Gymnastics Men's Rings, Gymnastics Men's Team All-Around",23.0
"Athletics Women's 4 x 100 metres Relay, Athletics Women's Pentathlon",23.0
"Biathlon Women's 15 kilometres, Biathlon Women's 3 x 7.5 kilometres Relay, Biathlon Women's 4 x 7.5 kilometres Relay, Biathlon Women's 7.5 kilometres Sprint, Cross Country Skiing Women's 20 kilometres, Cross Country Skiing Women's 4 x 5 kilometres Relay",23.0
Biathlon Women's 12.5 kilometres Mass Start,23.0
"Swimming Women's 100 metres Butterfly, Swimming Women's 100 metres Freestyle, Swimming Women's 4 x 100 metres Freestyle Relay, Swimming Women's 50 metres Freestyle",23.0
"Cross Country Skiing Men's 15 kilometres, Cross Country Skiing Men's 30 km Skiathlon, Cross Country Skiing Men's 4 x 10 kilometres Relay, Cross Country Skiing Men's Sprint, Cross Country Skiing Men's Team Sprint",23.0
"Athletics Men's 4 x 400 metres Relay, Rowing Men's Double Sculls",23.0
"Swimming Women's 100 metres Breaststroke, Swimming Women's 100 metres Freestyle, Swimming Women's 200 metres Individual Medley",23.0
"Wrestling Men's Featherweight, Greco-Roman, Wrestling Men's Welterweight, Greco-Roman",23.0
"Snowboarding Men's Boardercross, Snowboarding Men's Halfpipe",23.0
"Swimming Women's 100 metres Backstroke, Swimming Women's 100 metres Freestyle, Swimming Women's 4 x 100 metres Freestyle Relay",23.0
"Shooting Men's Trap, Weightlifting Women's Featherweight",23.0
"Cycling Men's Omnium, Cycling Men's Road Race, Individual",23.0
"Athletics Men's 1,500 metres, Athletics Men's 4 x 400 metres Relay",23.0
"Athletics Men's Decathlon, Athletics Men's Pentathlon, Athletics Men's Pole Vault",23.0
"Bobsleigh Men's Two, Shooting Mixed Small-Bore Rifle, Prone, 50 metres, Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",23.0
"Athletics Men's Decathlon, Athletics Men's High Jump, Athletics Men's Pole Vault",23.0
"Alpine Skiing Men's Giant Slalom, Alpine Skiing Men's Slalom, Weightlifting Men's Middle-Heavyweight",23.0
"Athletics Men's 100 metres, Athletics Men's Discus Throw, Greek Style, Athletics Men's Hammer Throw, Athletics Men's Long Jump, Athletics Men's Pentathlon, Athletics Men's Pentathlon (Ancient), Athletics Men's Shot Put, Athletics Men's Standing Long Jump, Athletics Men's Stone Throw, Gymnastics Men's Individual All-Around, Gymnastics Men's Individual All-Around, 5 Events, Gymnastics Men's Team All-Around, Tug-Of-War Men's Tug-Of-War",23.0
"Cycling Men's Individual Pursuit, 4,000 metres, Cycling Men's Madison, Cycling Men's Road Race, Individual, Cycling Men's Team Pursuit, 4,000 metres",23.0
"Athletics Men's 10,000 metres, Athletics Men's 3,000 metres Steeplechase, Athletics Men's 5,000 metres",23.0
"Swimming Men's 100 metres Freestyle, Swimming Men's 4 x 100 metres Medley Relay, Water Polo Men's Water Polo",23.0
"Athletics Men's 100 metres, Athletics Men's Decathlon",23.0
"Snowboarding Men's Boardercross, Snowboarding Men's Giant Slalom, Snowboarding Men's Parallel Giant Slalom",23.0
"Gymnastics Men's Horizontal Bar, Gymnastics Men's Horse Vault, Gymnastics Men's Individual All-Around, Gymnastics Men's Parallel Bars, Gymnastics Men's Rings, Gymnastics Men's Team All-Around",23.0
"Athletics Men's Decathlon, Athletics Men's Pole Vault",23.0
"Athletics Men's Decathlon, Athletics Men's Pole Vault, Athletics Men's Triple Jump",23.0
"Alpine Skiing Men's Giant Slalom, Alpine Skiing Men's Slalom, Handball Men's Handball",23.0
"Cross Country Skiing Men's 15 kilometres, Cross Country Skiing Men's 30 km Skiathlon, Cross Country Skiing Men's Sprint",23.0
"Swimming Men's 100 metres Freestyle, Swimming Men's 200 metres Freestyle, Swimming Men's 4 x 100 metres Freestyle Relay, Swimming Men's 50 metres Freestyle",23.0
"Athletics Men's 10 kilometres Walk, Athletics Men's Pole Vault",23.0
"Cycling Men's 333 metres Time Trial, Cycling Men's 5,000 metres, Cycling Men's Sprint, Cycling Men's Team Pursuit, 1,980 yards",23.0
"Swimming Men's 100 metres Butterfly, Swimming Men's 4 x 100 metres Medley Relay, Swimming Men's 4 x 200 metres Freestyle Relay",23.0
"Cross Country Skiing Men's 15 kilometres, Cross Country Skiing Men's 30 km Skiathlon, Cross Country Skiing Men's 50 kilometres, Cross Country Skiing Men's Team Sprint",23.0
"Ice Hockey Women's Ice Hockey, Short Track Speed Skating Women's 3,000 metres Relay, Softball Women's Softball",23.0
"Sailing Mixed Three Person Keelboat, Sailing Mixed Two Person Dinghy, Sailing Mixed Two Person Heavyweight Dinghy",23.0
"Bobsleigh Men's Four/Five, Fencing Men's Foil, Individual, Fencing Men's Foil, Team, Fencing Men's Sabre, Individual, Fencing Men's Sabre, Team, Fencing Men's epee, Individual, Fencing Men's epee, Team",23.0
"Cross Country Skiing Women's 10 kilometres, Cross Country Skiing Women's 15 kilometres, Cross Country Skiing Women's 4 x 5 kilometres Relay, Cross Country Skiing Women's 5 kilometres, Cross Country Skiing Women's 5/10 kilometres Pursuit",23.0
"Athletics Women's 3,000 metres, Athletics Women's 800 metres",23.0
"Swimming Men's 200 metres Breaststroke, Wrestling Men's Bantamweight, Freestyle",23.0
"Athletics Men's 110 metres Hurdles, Athletics Men's 200 metres Hurdles, Athletics Men's 60 metres, Athletics Men's Long Jump",23.0
"Hockey Men's Hockey, Rowing Men's Coxed Pairs",23.0
"Hockey Men's Hockey, Swimming Men's 100 metres Butterfly, Swimming Men's 200 metres Butterfly, Swimming Men's 4 x 100 metres Freestyle Relay",23.0
"Hockey Men's Hockey, Wrestling Men's Bantamweight, Freestyle",23.0
"Athletics Women's 200 metres, Athletics Women's 4 x 100 metres Relay, Athletics Women's High Jump, Athletics Women's Long Jump",23.0
"Swimming Men's 200 metres Backstroke, Swimming Men's 4 x 200 metres Freestyle Relay",23.0
"Athletics Men's 100 metres, Cycling Men's Sprint",23.0
"Cycling Men's Madison, Cycling Men's Omnium, Cycling Men's Road Race, Individual",23.0
"Basketball Men's Basketball, Canoeing Men's Kayak Doubles, 1,000 metres, Canoeing Men's Kayak Doubles, 500 metres, Fencing Men's epee, Individual, Fencing Men's epee, Team",23.0
"Cross Country Skiing Men's 30 km Skiathlon, Cross Country Skiing Men's 4 x 10 kilometres Relay",23.0
"Wrestling Men's Heavyweight, Freestyle, Wrestling Men's Light-Heavyweight, Greco-Roman",23.0
"Athletics Women's 20 kilometres Walk, Athletics Women's Marathon",23.0
"Ice Hockey Men's Ice Hockey, Wrestling Men's Bantamweight, Freestyle",23.0
"Alpine Skiing Men's Giant Slalom, Alpine Skiing Men's Super G",23.0
"Athletics Men's 110 metres Hurdles, Athletics Men's 400 metres, Athletics Men's 400 metres Hurdles",23.0
"Ice Hockey Men's Ice Hockey, Rowing Men's Coxless Fours",23.0
"Athletics Women's 400 metres Hurdles, Athletics Women's Heptathlon",23.0
"Biathlon Men's 10 kilometres Sprint, Biathlon Men's 20 kilometres, Cross Country Skiing Men's 15 kilometres",23.0
"Equestrianism Mixed Dressage, Individual, Equestrianism Mixed Dressage, Team, Fencing Men's Foil, Individual, Fencing Men's Sabre, Individual, Fencing Men's Sabre, Team, Fencing Men's epee, Individual, Fencing Men's epee, Team",23.0
"Shooting Men's Rapid-Fire Pistol, 25 metres, Weightlifting Men's Heavyweight, Weightlifting Men's Middle-Heavyweight",23.0
