Event,Average Age
"Fencing Men's Foil, Team, Fencing Men's Sabre, Team, Fencing Men's epee, Individual, Fencing Men's epee, Team",35.0
"Shooting Men's Free Pistol, 50 metres, Shooting Men's Rapid-Fire Pistol, 25 metres, Shooting Men's Small-Bore Rifle, Prone, 50 metres",35.0
"Shooting Men's Free Pistol, 50 metres",34.8
Shooting Men's Trap,34.76
Sailing Mixed 6 metres,34.75
"Equestrianism Mixed Dressage, Individual, Equestrianism Mixed Dressage, Team",34.61
"Shooting Men's Double Trap, Shooting Mixed Trap",34.5
"Cross Country Skiing Men's 15 kilometres, Cross Country Skiing Men's 30 kilometres, Cross Country Skiing Men's Sprint",34.0
"Sailing Men's One Person Dinghy, Sailing Mixed Two Person Keelboat",34.0
"Athletics Men's 10 kilometres Walk, Athletics Men's 10 mile Walk, Athletics Men's 3,500 metres Walk",34.0
"Equestrianism Men's Jumping, Individual, Equestrianism Men's Jumping, Team, Equestrianism Mixed Dressage, Individual, Equestrianism Mixed Dressage, Team, Equestrianism Mixed Jumping, Individual, Equestrianism Mixed Jumping, Team",34.0
"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team, Shooting Men's Military Rifle, Any Position, 600 metres",34.0
"Cross Country Skiing Women's 15 kilometres, Cross Country Skiing Women's 30 kilometres, Cross Country Skiing Women's 5 kilometres",34.0
"Cross Country Skiing Men's 18 kilometres, Cross Country Skiing Men's 4 x 10 kilometres Relay, Cross Country Skiing Men's 50 kilometres, Nordic Combined Men's Individual",34.0
"Athletics Men's Marathon, Rowing Men's Coxed Fours",34.0
"Art Competitions Mixed Sculpturing, Reliefs, Art Competitions Mixed Sculpturing, Unknown Event, Table Tennis Men's Team",34.0
"Canoeing Men's Kayak Singles, 1,000 metres, Shooting Mixed Small-Bore Rifle, Prone, 50 metres",34.0
"Bobsleigh Men's Four, Luge Men's Singles",34.0
"Equestrianism Men's Dressage, Individual, Equestrianism Men's Dressage, Team, Equestrianism Men's Jumping, Individual, Equestrianism Men's Jumping, Team, Equestrianism Mixed Dressage, Individual",34.0
"Shooting Men's Free Rifle, Three Positions, 300 metres, Shooting Men's Small-Bore Rifle, Prone, 50 metres, Shooting Mixed Free Rifle, Three Positions, 300 metres, Shooting Mixed Small-Bore Rifle, Prone, 50 metres, Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",34.0
"Shooting Mixed Free Pistol, 50 metres",33.99
"Shooting Men's Trap, Shooting Mixed Skeet",33.67
"Fencing Women's Foil, Team, Fencing Women's epee, Individual, Fencing Women's epee, Team",33.5
Shooting Mixed Trap,33.43
Sailing Mixed 5.5 metres,33.22
"Shooting Men's Free Rifle, Three Positions, 300 metres",33.1
"Athletics Men's 10 kilometres Walk, Athletics Men's Marathon",33.0
"Shooting Men's Rapid-Fire Pistol, 25 metres, Shooting Mixed Free Pistol, 50 metres",33.0
"Modern Pentathlon Men's Individual, Modern Pentathlon Men's Team, Polo Men's Polo",33.0
"Art Competitions Mixed Architecture, Unknown Event, Handball Men's Handball",33.0
"Shooting Men's Rapid-Fire Pistol, 25 metres, Shooting Mixed Free Pistol, 50 metres, Shooting Mixed Rapid-Fire Pistol, 25 metres",33.0
"Snowboarding Men's Halfpipe, Triathlon Men's Olympic Distance",33.0
"Shooting Men's Rapid-Fire Pistol, 25 metres, Shooting Men's Trap",33.0
"Cycling Men's Team Pursuit, 4,000 metres, Handball Men's Handball",33.0
"Shooting Men's Small-Bore Rifle, Prone, 50 metres, Shooting Mixed Free Rifle, Three Positions, 300 metres, Shooting Mixed Small-Bore Rifle, Prone, 50 metres, Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",33.0
"Athletics Men's Hammer Throw, Wrestling Men's Heavyweight, Greco-Roman",33.0
"Sailing Mixed 5.5 metres, Sailing Mixed 6 metres",33.0
"Gymnastics Women's Balance Beam, Gymnastics Women's Floor Exercise, Gymnastics Women's Horse Vault, Gymnastics Women's Individual All-Around, Gymnastics Women's Team All-Around, Gymnastics Women's Uneven Bars, Softball Women's Softball, Speed Skating Women's 5,000 metres",33.0
"Sailing Mixed 5.5 metres, Sailing Mixed 6 metres, Sailing Mixed Three Person Keelboat",33.0
"Sailing Mixed 5.5 metres, Sailing Mixed One Person Dinghy, Sailing Mixed Three Person Keelboat",33.0
"Shooting Men's Small-Bore Rifle, Prone, 50 metres, Shooting Mixed Small-Bore Rifle, Prone, 50 metres",33.0
"Athletics Men's 56-pound Weight Throw, Athletics Men's Shot Put, Athletics Men's Shot Put, Both Hands",33.0
"Athletics Women's Javelin Throw, Athletics Women's Long Jump",33.0
"Shooting Men's Small-Bore Rifle, Prone, 50 metres, Shooting Mixed Free Pistol, 50 metres, Shooting Mixed Small-Bore Rifle, Prone, 50 metres",33.0
"Shooting Men's Small-Bore Rifle, Prone, 50 metres",32.84
"Equestrianism Mixed Three-Day Event, Team",32.74
"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",32.59
Sailing Men's Two Person Keelboat,32.5
"Shooting Men's Free Pistol, 50 metres, Shooting Men's Rapid-Fire Pistol, 25 metres",32.5
"Sailing Mixed 5.5 metres, Sailing Mixed Three Person Keelboat",32.46
"Shooting Mixed Rapid-Fire Pistol, 25 metres",32.4
Golf Men's Individual,32.31
"Shooting Men's Air Pistol, 10 metres, Shooting Men's Free Pistol, 50 metres",32.18
"Equestrianism Men's Three-Day Event, Individual, Equestrianism Men's Three-Day Event, Team",32.13
"Shooting Men's Trap, Wrestling Men's Welterweight, Freestyle",32.0
"Biathlon Men's 10 kilometres Sprint, Biathlon Men's 20 kilometres, Biathlon Men's 4 x 7.5 kilometres Relay, Nordic Combined Men's Individual, Ski Jumping Men's Normal Hill, Individual",32.0
"Cycling Men's Road Race, Individual, Skeleton Men's Skeleton",32.0
"Athletics Men's Standing Long Jump, Diving Men's Plain High, Diving Men's Platform, Swimming Men's 100 metres Freestyle, Swimming Men's 200 metres Breaststroke",32.0
"Cycling Women's Individual Pursuit, 3,000 metres, Cycling Women's Individual Time Trial",32.0
"Athletics Men's Hammer Throw, Tug-Of-War Men's Tug-Of-War",32.0
"Shooting Men's Free Pistol, 50 metres, Shooting Men's Free Rifle, Three Positions, 300 metres, Shooting Men's Rapid-Fire Pistol, 25 metres",32.0
Gymnastics Men's Parallel Bars,32.0
"Cycling Women's Individual Time Trial, Cycling Women's Omnium, Cycling Women's Road Race, Individual, Cycling Women's Team Pursuit",32.0
"Wrestling Men's Featherweight, Greco-Roman, Wrestling Men's Lightweight, Freestyle",32.0
"Shooting Mixed Small-Bore Rifle, Prone, 50 metres, Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres, Swimming Men's 1,500 metres Freestyle, Swimming Men's 400 metres Freestyle",32.0
"Cross Country Skiing Men's 18 kilometres, Cross Country Skiing Men's 50 kilometres, Cycling Men's Road Race, Individual, Cycling Men's Road Race, Team",32.0
"Equestrianism Mixed Three-Day Event, Individual",31.8
"Shooting Men's Rapid-Fire Pistol, 25 metres",31.71
"Equestrianism Mixed Jumping, Individual",31.63
Shooting Mixed Skeet,31.5
"Shooting Men's Free Pistol, 50 metres, Shooting Mixed Free Pistol, 50 metres",31.38
Sailing Mixed 8 metres,31.33
Curling Men's Curling,31.07
"Cycling Women's Individual Pursuit, 3,000 metres, Cycling Women's Omnium, Cycling Women's Points Race",31.0
"Biathlon Men's 10 kilometres Sprint, Biathlon Men's 12.5 kilometres Pursuit",31.0
Athletics Men's 56-pound Weight Throw,31.0
"Hockey Men's Hockey, Ice Hockey Men's Ice Hockey",31.0
"Cycling Men's Team Pursuit, 4,000 metres, Sailing Men's Two Person Dinghy",31.0
"Athletics Men's Hammer Throw, Shooting Men's Rapid-Fire Pistol, 25 metres",31.0
"Athletics Men's 1,500 metres, Athletics Men's 5,000 metres, Boxing Men's Heavyweight, Football Men's Football, Hockey Men's Hockey",31.0
"Sailing Men's Two Person Keelboat, Sailing Mixed Skiff",31.0
"Cross Country Skiing Men's 30 kilometres, Cross Country Skiing Men's 4 x 10 kilometres Relay, Water Polo Men's Water Polo",31.0
"Shooting Men's Small-Bore Rifle, Prone, 50 metres, Shooting Men's Small-Bore Rifle, Three Positions, 50 metres, Shooting Mixed Free Rifle, Three Positions, 300 metres, Shooting Mixed Small-Bore Rifle, Prone, 50 metres, Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",31.0
"Fencing Men's epee, Individual, Fencing Men's epee, Team, Judo Men's Half-Heavyweight",31.0
